variable,station,metric,better_model
TAS,hadisd,MAE,wrf
TAS,hadisd,MBE,wrf
TAS,hadisd,RMSE,wrf
TAS,hadisd,CORR,wrf-ctsm
TAS,hadisd,NSTD,wrf
TAS,hadisd,SKEW,wrf
TAS,hadisd,KURTOSIS,wrf
TAS,hadisd,PSS,wrf-ctsm
TAS,hadisd,ABE_m5,wrf
TAS,hadisd,ABE_m95,wrf
RH,hadisd,MAE,wrf
RH,hadisd,MBE,wrf
RH,hadisd,RMSE,wrf
RH,hadisd,CORR,wrf-ctsm
RH,hadisd,NSTD,wrf
RH,hadisd,SKEW,wrf-ctsm
RH,hadisd,KURTOSIS,wrf-ctsm
RH,hadisd,PSS,wrf
RH,hadisd,ABE_m5,wrf
RH,hadisd,ABE_m95,wrf
WIND,hadisd,MAE,wrf-ctsm
WIND,hadisd,MBE,wrf-ctsm
WIND,hadisd,RMSE,wrf-ctsm
WIND,hadisd,CORR,wrf
WIND,hadisd,NSTD,wrf-ctsm
WIND,hadisd,SKEW,wrf-ctsm
WIND,hadisd,KURTOSIS,wrf
WIND,hadisd,PSS,wrf-ctsm
WIND,hadisd,ABE_m5,wrf-ctsm
WIND,hadisd,ABE_m95,wrf-ctsm
TAS,maqs,MAE,wrf
TAS,maqs,MBE,wrf
TAS,maqs,RMSE,wrf-ctsm
TAS,maqs,CORR,wrf-ctsm
TAS,maqs,NSTD,wrf-ctsm
TAS,maqs,SKEW,wrf-ctsm
TAS,maqs,KURTOSIS,wrf
TAS,maqs,PSS,wrf
TAS,maqs,ABE_m5,wrf-ctsm
TAS,maqs,ABE_m95,wrf
RH,maqs,MAE,wrf
RH,maqs,MBE,wrf-ctsm
RH,maqs,RMSE,wrf
RH,maqs,CORR,wrf
RH,maqs,NSTD,wrf-ctsm
RH,maqs,SKEW,wrf-ctsm
RH,maqs,KURTOSIS,wrf-ctsm
RH,maqs,PSS,wrf-ctsm
RH,maqs,ABE_m5,wrf
RH,maqs,ABE_m95,wrf
WIND,maqs,MAE,wrf-ctsm
WIND,maqs,MBE,wrf-ctsm
WIND,maqs,RMSE,wrf-ctsm
WIND,maqs,CORR,wrf
WIND,maqs,NSTD,wrf-ctsm
WIND,maqs,SKEW,wrf-ctsm
WIND,maqs,KURTOSIS,wrf
WIND,maqs,PSS,wrf-ctsm
WIND,maqs,ABE_m5,wrf-ctsm
WIND,maqs,ABE_m95,wrf-ctsm
TAS,whitworth,MAE,wrf-ctsm
TAS,whitworth,MBE,wrf
TAS,whitworth,RMSE,wrf-ctsm
TAS,whitworth,CORR,wrf-ctsm
TAS,whitworth,NSTD,wrf-ctsm
TAS,whitworth,SKEW,wrf-ctsm
TAS,whitworth,KURTOSIS,wrf
TAS,whitworth,PSS,wrf
TAS,whitworth,ABE_m5,wrf-ctsm
TAS,whitworth,ABE_m95,wrf-ctsm
RH,whitworth,MAE,wrf
RH,whitworth,MBE,wrf-ctsm
RH,whitworth,RMSE,wrf-ctsm
RH,whitworth,CORR,wrf
RH,whitworth,NSTD,wrf
RH,whitworth,SKEW,wrf
RH,whitworth,KURTOSIS,wrf-ctsm
RH,whitworth,PSS,wrf
RH,whitworth,ABE_m5,wrf
RH,whitworth,ABE_m95,wrf
WIND,whitworth,MAE,wrf-ctsm
WIND,whitworth,MBE,wrf-ctsm
WIND,whitworth,RMSE,wrf-ctsm
WIND,whitworth,CORR,wrf
WIND,whitworth,NSTD,wrf-ctsm
WIND,whitworth,SKEW,wrf-ctsm
WIND,whitworth,KURTOSIS,wrf-ctsm
WIND,whitworth,PSS,wrf-ctsm
WIND,whitworth,ABE_m5,wrf
WIND,whitworth,ABE_m95,wrf-ctsm
TAS,sensor,MAE,wrf
TAS,sensor,MBE,wrf-ctsm
TAS,sensor,RMSE,wrf-ctsm
TAS,sensor,CORR,wrf-ctsm
TAS,sensor,NSTD,wrf-ctsm
TAS,sensor,SKEW,wrf-ctsm
TAS,sensor,KURTOSIS,wrf-ctsm
TAS,sensor,PSS,wrf
TAS,sensor,ABE_m5,wrf-ctsm
TAS,sensor,ABE_m95,wrf
RH,sensor,MAE,wrf
RH,sensor,MBE,wrf-ctsm
RH,sensor,RMSE,wrf
RH,sensor,CORR,wrf
RH,sensor,NSTD,wrf
RH,sensor,SKEW,wrf-ctsm
RH,sensor,KURTOSIS,wrf-ctsm
RH,sensor,PSS,wrf-ctsm
RH,sensor,ABE_m5,wrf
RH,sensor,ABE_m95,wrf-ctsm
