lat,lon,index_lat,index_lon
53.27471160888672,-2.582366943359375,0,11
53.28548812866211,-2.5643310546875,1,12
53.2962760925293,-2.546295166015625,2,13
53.30706024169922,-2.52825927734375,3,14
53.31784439086914,-2.510223388671875,4,15
53.328636169433594,-2.4921875,5,16
53.33942413330078,-2.47418212890625,6,17
53.35020446777344,-2.456146240234375,7,18
53.360992431640625,-2.4381103515625,8,19
53.37177276611328,-2.420074462890625,9,20
53.38256072998047,-2.40203857421875,10,21
53.393348693847656,-2.384002685546875,11,22
53.40412902832031,-2.365997314453125,12,23
53.4149169921875,-2.34796142578125,13,24
53.42570495605469,-2.329925537109375,14,25
53.43648910522461,-2.3118896484375,15,26
53.44727325439453,-2.29388427734375,16,27
53.45806121826172,-2.275848388671875,17,28
53.46884536743164,-2.2578125,18,29
53.47962951660156,-2.239776611328125,19,30
53.49040985107422,-2.221771240234375,20,31
53.501197814941406,-2.2037353515625,21,32
53.511985778808594,-2.185699462890625,22,33
53.522769927978516,-2.167694091796875,23,34
53.53355026245117,-2.149658203125,24,35
53.544334411621094,-2.13165283203125,25,36
53.55512237548828,-2.113616943359375,26,37
53.5659065246582,-2.0955810546875,27,38
53.57669448852539,-2.07757568359375,28,39
53.58747482299805,-2.059539794921875,29,40
53.5982551574707,-2.041534423828125,30,41
53.609039306640625,-2.02349853515625,31,42
53.61983108520508,-2.0054931640625,32,43
53.630615234375,-1.987457275390625,33,44
53.641395568847656,-1.969451904296875,34,45
53.65217590332031,-1.951416015625,35,46
53.6629638671875,-1.93341064453125,36,47
53.67375183105469,-1.915374755859375,37,48
53.684532165527344,-1.897369384765625,38,49
53.69532012939453,-1.87933349609375,39,50
53.70610046386719,-1.861328125,40,51
53.71688461303711,-1.843292236328125,41,52
53.72766876220703,-1.825286865234375,42,53
53.73845291137695,-1.807281494140625,43,54
53.74923324584961,-1.78924560546875,44,55
